Type	Name	Basic	Syntax	Description
Database	DVAR		"DVAR(database, field, criteria)"	Returns the variance of a population sample selected from a database table-like array or range using a SQL-like query. Learn more
Database	DVARP		"DVARP(database, field, criteria)"	Returns the variance of an entire population selected from a database table-like array or range using a SQL-like query. Learn more
Date	DATE	1	"DATE(year, month, day)"	"Converts a provided year, month, and day into a date. Learn more"
Date	DATEDIF	1	"DATEDIF(start_date, end_date, unit)"	"Calculates the number of days, months, or years between two dates. Learn more"
Date	DATEVALUE	1	DATEVALUE(date_string)	Converts a provided date string in a known format to a date value. Learn more
Date	DAY	1	DAY(date)	"Returns the day of the month that a specific date falls on, in numeric format. Learn more"
Date	DAYS	1	"DAYS(end_date, start_date)"	Returns the number of days between two dates. Learn more. 
Date	DAYS360	1	"DAYS360(start_date, end_date, [method])"	Returns the difference between two days based on the 360 day year used in some financial interest calculations. Learn more
Date	EDATE	1	"EDATE(start_date, months)"	Returns a date a specified number of months before or after another date. Learn more
Date	EOMONTH	1	"EOMONTH(start_date, months)"	Returns a date representing the last day of a month which falls a specified number of months before or after another date. Learn more
Date	HOUR	1	HOUR(time)	"Returns the hour component of a specific time, in numeric format. Learn more"
Date	ISOWEEKNUM	1	ISOWEEKNUM(date)	Returns the number of the ISO week of the year where the provided date falls. Learn more
Date	MINUTE	1	MINUTE(time)	"Returns the minute component of a specific time, in numeric format. Learn more"
Date	MONTH	1	MONTH(date)	"Returns the month of the year a specific date falls in, in numeric format. Learn more"
Date	NETWORKDAYS	1	"NETWORKDAYS(start_date, end_date, [holidays])"	Returns the number of net working days between two provided days. Learn more
Date	NETWORKDAYS.INTL	1	"NETWORKDAYS.INTL(start_date, end_date, [weekend], [holidays])"	 Returns the number of net working days between two provided days excluding specified weekend days and holidays. Learn more
Date	NOW	1	NOW()	Returns the current date and time as a date value. Learn more
Date	SECOND	1	SECOND(time)	"Returns the second component of a specific time, in numeric format. Learn more"
Date	TIME	1	"TIME(hour, minute, second)"	"Converts a provided hour, minute, and second into a time. Learn more"
Date	TIMEVALUE	1	TIMEVALUE(time_string)	Returns the fraction of a 24-hour day the time represents. Learn more
Date	TODAY	1	TODAY()	Returns the current date as a date value. Learn more
Date	WEEKDAY	1	"WEEKDAY(date, [type])"	Returns a number representing the day of the week of the date provided. Learn more
Date	WEEKNUM	1	"WEEKNUM(date, [type])"	Returns a number representing the week of the year where the provided date falls. Learn more
Date	WORKDAY	1	"WORKDAY(start_date, num_days, [holidays])"	Calculates the end date after a specified number of working days. Learn more
Date	WORKDAY.INTL	1	"WORKDAY.INTL(start_date, num_days, [weekend], [holidays])"	Calculates the date after a specified number of workdays excluding specified weekend days and holidays. Learn more
Date	YEAR	1	YEAR(date)	Returns the year specified by a given date. Learn more
Date	YEARFRAC	1	"YEARFRAC(start_date, end_date, [day_count_convention])"	"Returns the number of years, including fractional years, between two dates using a specified day count convention. Learn more"
Engineering	BIN2DEC		BIN2DEC(signed_binary_number)	Converts a signed binary number to decimal format. Learn more
Engineering	BIN2HEX		"BIN2HEX(signed_binary_number, [significant_digits])"	Converts a signed binary number to signed hexadecimal format. Learn more
Engineering	BIN2OCT		"BIN2OCT(signed_binary_number, [significant_digits])"	Converts a signed binary number to signed octal format. Learn more
Engineering	BITAND		"BITAND(value1, value2)"	Bitwise boolean AND of two numbers. Learn more. 
Engineering	BITLSHIFT		"BITLSHIFT(value, shift_amount)"	Shifts the bits of the input a certain number of places to the left. Learn more. 
Engineering	BITOR		"BITOR(value1, value2)"	Bitwise boolean OR of 2 numbers. Learn more.
Engineering	BITRSHIFT		"BITRSHIFT(value, shift_amount)"	Shifts the bits of the input a certain number of places to the right. Learn more. 
Engineering	BITXOR		"BITXOR(value1, value2)"	Bitwise XOR (exclusive OR) of 2 numbers. Learn more.
Engineering	COMPLEX		"COMPLEX(real_part, imaginary_part, [suffix])"	Creates a complex number given real and imaginary coefficients. Learn more
Engineering	DEC2BIN		"DEC2BIN(decimal_number, [significant_digits])"	Converts a decimal number to signed binary format. Learn more
Engineering	DEC2HEX		"DEC2HEX(decimal_number, [significant_digits])"	Converts a decimal number to signed hexadecimal format. Learn more
Engineering	DEC2OCT		"DEC2OCT(decimal_number, [significant_digits])"	Converts a decimal number to signed octal format. Learn more
Engineering	DELTA		"DELTA(number1, [number2])"	"Compare two numeric values, returning 1 if they're equal. Learn more"
Engineering	ERF		"ERF(lower_bound, [upper_bound])"	The ERF function returns the integral of the Gauss error function over an interval of values. Learn more.
Engineering	ERF.PRECISE		"ERF.PRECISE(lower_bound, [upper_bound])"	See ERF 
Engineering	GESTEP		"GESTEP(value, [step])"	Returns 1 if the rate is strictly greater than or equal to the provided step value or 0 otherwise. If no step value is provided then the default value of 0 will be used. Learn more.
Engineering	HEX2BIN		"HEX2BIN(signed_hexadecimal_number, [significant_digits])"	Converts a signed hexadecimal number to signed binary format. Learn more
Engineering	HEX2DEC		HEX2DEC(signed_hexadecimal_number)	Converts a signed hexadecimal number to decimal format. Learn more
Engineering	HEX2OCT		"HEX2OCT(signed_hexadecimal_number, significant_digits)"	Converts a signed hexadecimal number to signed octal format. Learn more
Engineering	IMABS		IMABS(number)	Returns absolute value of a complex number. Learn more
Engineering	IMAGINARY		IMAGINARY(complex_number)	Returns the imaginary coefficient of a complex number. Learn more
Engineering	IMARGUMENT		IMARGUMENT(number)	The IMARGUMENT function returns the angle (also known as the argument or \theta) of the given complex number in radians. Learn more.
Engineering	IMCONJUGATE		IMCONJUGATE(number)	Returns the complex conjugate of a number. Learn more
Engineering	IMCOS		IMCOS(number)	The IMCOS function returns the cosine of the given complex number. Learn more.
Engineering	IMCOSH		IMCOSH(number)	"Returns the hyperbolic cosine of the given complex number. For example, a given complex number ""x+yi"" returns ""cosh(x+yi)."" Learn more."
Engineering	IMCOT		IMCOT(number)	"Returns the cotangent of the given complex number. For example, a given complex number ""x+yi"" returns ""cot(x+yi)."" Learn more."
Engineering	IMCOTH		IMCOTH(number)	"Returns the hyperbolic cotangent of the given complex number. For example, a given complex number ""x+yi"" returns ""coth(x+yi)."" Learn more."
Engineering	IMCSC		IMCSC(number)	Returns the cosecant of the given complex number. Learn more.
Engineering	IMCSCH		IMCSCH(number)	"Returns the hyperbolic cosecant of the given complex number. For example, a given complex number ""x+yi"" returns ""csch(x+yi)."" Learn more."
Engineering	IMDIV		"IMDIV(dividend, divisor)"	Returns one complex number divided by another. Learn more
Engineering	IMEXP		IMEXP(exponent)	"Returns Euler's number, e (~2.718) raised to a complex power. Learn more."
Engineering	IMLOG		"IMLOG(value, base)"	Returns the logarithm of a complex number for a specified base. Learn more.
Engineering	IMLOG10		IMLOG10(value)	Returns the logarithm of a complex number with base 10. Learn more.
Engineering	IMLOG2		IMLOG2(value)	Returns the logarithm of a complex number with base 2. Learn more.
Engineering	IMPRODUCT		"IMPRODUCT(factor1, [factor2, ...])"	Returns the result of multiplying a series of complex numbers together. Learn more
Engineering	IMREAL		IMREAL(complex_number)	Returns the real coefficient of a complex number. Learn more
Engineering	IMSEC		IMSEC(number)	"Returns the secant of the given complex number. For example, a given complex number ""x+yi"" returns ""sec(x+yi)."" Learn more."
Engineering	IMSECH		IMSECH(number)	"Returns the hyperbolic secant of the given complex number. For example, a given complex number ""x+yi"" returns ""sech(x+yi)."" Learn more."
Engineering	IMSIN		IMSIN (number)	Returns the sine of the given complex number. Learn more.
Engineering	IMSINH		IMSINH(number)	"Returns the hyperbolic sine of the given complex number. For example, a given complex number ""x+yi"" returns ""sinh(x+yi)."" Learn more."
Engineering	IMSUB		"IMSUB(first_number, second_number)"	Returns the difference between two complex numbers. Learn more
Engineering	IMSUM		"IMSUM(value1, [value2, ...])"	Returns the sum of a series of complex numbers. Learn more
Engineering	IMTAN		IMTAN(number)	Returns the tangent of the given complex number. Learn more.
Engineering	IMTANH		IMTANH(number)	"Returns the hyperbolic tangent of the given complex number. For example, a given complex number ""x+yi"" returns ""tanh(x+yi)."" Learn more."
Engineering	OCT2BIN		"OCT2BIN(signed_octal_number, [significant_digits])"	Converts a signed octal number to signed binary format. Learn more
Engineering	OCT2DEC		OCT2DEC(signed_octal_number)	Converts a signed octal number to decimal format. Learn more
Engineering	OCT2HEX		"OCT2HEX(signed_octal_number, [significant_digits])"	Converts a signed octal number to signed hexadecimal format. Learn more
Filter	FILTER	1	"FILTER(range, condition1, [condition2])"	"Returns a filtered version of the source range, returning only rows or columns which meet the specified conditions. Learn more"
Filter	SORT	1	"SORT(range, sort_column, is_ascending, [sort_column2], [is_ascending2])"	Sorts the rows of a given array or range by the values in one or more columns. Learn more
Filter	SORTN	1	"SORTN(range, [n], [display_ties_mode], [sort_column1, is_ascending1], ...)"	Returns the first n items in a data set after performing a sort. Learn more
Filter	UNIQUE	1	UNIQUE(range)	"Returns unique rows in the provided source range, discarding duplicates. Rows are returned in the order in which they first appear in the source range. Learn more"
Financial	ACCRINT		"ACCRINT(issue, first_payment, settlement, rate, redemption, frequency, [day_count_convention])"	Calculates the accrued interest of a security that has periodic payments. Learn more
Financial	ACCRINTM		"ACCRINTM(issue, maturity, rate, [redemption], [day_count_convention])"	Calculates the accrued interest of a security that pays interest at maturity. Learn more
Financial	AMORLINC		"AMORLINC(cost, purchase_date, first_period_end, salvage, period, rate, [basis])"	"Returns the depreciation for an accounting period, or the prorated depreciation if the asset was purchased in the middle of a period. Learn more. "
Financial	COUPDAYBS		"COUPDAYBS(settlement, maturity, frequency, [day_count_convention])"	"Calculates the number of days from the first coupon, or interest payment, until settlement. Learn more"
Financial	COUPDAYS		"COUPDAYS(settlement, maturity, frequency, [day_count_convention])"	"Calculates the number of days in the coupon, or interest payment, period that contains the specified settlement date. Learn more"
Financial	COUPDAYSNC		"COUPDAYSNC(settlement, maturity, frequency, [day_count_convention])"	" Calculates the number of days from the settlement date until the next coupon, or interest payment. Learn more"
Financial	COUPNCD		"COUPNCD(settlement, maturity, frequency, [day_count_convention])"	"Calculates next coupon, or interest payment, date after the settlement date. Learn more"
Financial	COUPNUM		"COUPNUM(settlement, maturity, frequency, [day_count_convention])"	"Calculates the number of coupons, or interest payments, between the settlement date and the maturity date of the investment. Learn more"
Financial	COUPPCD		"COUPPCD(settlement, maturity, frequency, [day_count_convention])"	"Calculates last coupon, or interest payment, date before the settlement date. Learn more"
Financial	CUMIPMT		"CUMIPMT(rate, number_of_periods, present_value, first_period, last_period, end_or_beginning)"	Calculates the cumulative interest over a range of payment periods for an investment based on constant-amount periodic payments and a constant interest rate. Learn more
Financial	CUMPRINC		"CUMPRINC(rate, number_of_periods, present_value, first_period, last_period, end_or_beginning)"	Calculates the cumulative principal paid over a range of payment periods for an investment based on constant-amount periodic payments and a constant interest rate. Learn more
Financial	DB		"DB(cost, salvage, life, period, [month])"	Calculates the depreciation of an asset for a specified period using the arithmetic declining balance method. Learn more
Financial	DDB		"DDB(cost, salvage, life, period, [factor])"	Calculates the depreciation of an asset for a specified period using the double-declining balance method. Learn more
Financial	DISC		"DISC(settlement, maturity, price, redemption, [day_count_convention])"	Calculates the discount rate of a security based on price. Learn more
Financial	DOLLARDE		"DOLLARDE(fractional_price, unit)"	Converts a price quotation given as a decimal fraction into a decimal value. Learn more
Financial	DOLLARFR		"DOLLARFR(decimal_price, unit)"	Converts a price quotation given as a decimal value into a decimal fraction. Learn more
Financial	DURATION		"DURATION(settlement, maturity, rate, yield, frequency, [day_count_convention]) ."	Calculates the number of compounding periods required for an investment of a specified present value appreciating at a given rate to reach a target value. Learn more
Financial	EFFECT		"EFFECT(nominal_rate, periods_per_year)"	Calculates the annual effective interest rate given the nominal rate and number of compounding periods per year. Learn more
Financial	FV		"FV(rate, number_of_periods, payment_amount, [present_value], [end_or_beginning])"	Calculates the future value of an annuity investment based on constant-amount periodic payments and a constant interest rate. Learn more
Financial	FVSCHEDULE		"FVSCHEDULE(principal, rate_schedule)"	Calculates the future value of some principal based on a specified series of potentially varying interest rates. Learn more
Financial	INTRATE		"INTRATE(buy_date, sell_date, buy_price, sell_price, [day_count_convention])"	 Calculates the effective interest rate generated when an investment is purchased at one price and sold at another with no interest or dividends generated by the investment itself. Learn more
Financial	IPMT		"IPMT(rate, period, number_of_periods, present_value, [future_value], [end_or_beginning])"	Calculates the payment on interest for an investment based on constant-amount periodic payments and a constant interest rate. Learn more
Financial	IRR		"IRR(cashflow_amounts, [rate_guess])"	Calculates the internal rate of return on an investment based on a series of periodic cash flows. Learn more
Financial	ISPMT		"ISPMT(rate, period, number_of_periods, present_value)"	The ISPMT function calculates the interest paid during a particular period of an investment. Learn more.
Financial	MDURATION		"MDURATION(settlement, maturity, rate, yield, frequency, [day_count_convention])"	"Calculates the modified Macaulay duration of a security paying periodic interest, such as a US Treasury Bond, based on expected yield. Learn more"
Financial	MIRR		"MIRR(cashflow_amounts, financing_rate, reinvestment_return_rate)"	Calculates the modified internal rate of return on an investment based on a series of periodic cash flows and the difference between the interest rate paid on financing versus the return received on reinvested income. Learn more
Financial	NOMINAL		"NOMINAL(effective_rate, periods_per_year)"	Calculates the annual nominal interest rate given the effective rate and number of compounding periods per year. Learn more
Financial	NPER		"NPER(rate, payment_amount, present_value, [future_value], [end_or_beginning])"	 Calculates the number of payment periods for an investment based on constant-amount periodic payments and a constant interest rate. Learn more
Financial	NPV		"NPV(discount, cashflow1, [cashflow2, ...])"	Calculates the net present value of an investment based on a series of periodic cash flows and a discount rate. Learn more
Financial	PDURATION		"PDURATION(rate, present_value, future_value)"	Returns the number of periods for an investment to reach a specific value at a given rate. Learn more.
Financial	PMT		"PMT(rate, number_of_periods, present_value, [future_value], [end_or_beginning])"	Calculates the periodic payment for an annuity investment based on constant-amount periodic payments and a constant interest rate. Learn more
Financial	PPMT		"PPMT(rate, period, number_of_periods, present_value, [future_value], [end_or_beginning])"	Calculates the payment on the principal of an investment based on constant-amount periodic payments and a constant interest rate. Learn more
Financial	PRICE		"PRICE(settlement, maturity, rate, yield, redemption, frequency, [day_count_convention])"	"Calculates the price of a security paying periodic interest, such as a US Treasury Bond, based on expected yield. Learn more"
Financial	PRICEDISC		"PRICEDISC(settlement, maturity, discount, redemption, [day_count_convention])"	"Calculates the price of a discount (non-interest-bearing) security, based on expected yield. Learn more"
Financial	PRICEMAT		"PRICEMAT(settlement, maturity, issue, rate, yield, [day_count_convention])"	" Calculates the price of a security paying interest at maturity, based on expected yield. Learn more"
Financial	PV		"PV(rate, number_of_periods, payment_amount, [future_value], [end_or_beginning])"	Calculates the present value of an annuity investment based on constant-amount periodic payments and a constant interest rate. Learn more
Financial	RATE		"RATE(number_of_periods, payment_per_period, present_value, [future_value], [end_or_beginning], [rate_guess])"	Calculates the interest rate of an annuity investment based on constant-amount periodic payments and the assumption of a constant interest rate. Learn more
Financial	RECEIVED		"RECEIVED(settlement, maturity, investment, discount, [day_count_convention])"	 Calculates the amount received at maturity for an investment in fixed-income securities purchased on a given date. Learn more
Financial	RRI		"RRI(number_of_periods, present_value, future_value)"	Returns the interest rate needed for an investment to reach a specific value within a given number of periods. Learn more.
Financial	SLN		"SLN(cost, salvage, life)"	Calculates the depreciation of an asset for one period using the straight-line method. Learn more
Financial	SYD		"SYD(cost, salvage, life, period)"	Calculates the depreciation of an asset for a specified period using the sum of years digits method. Learn more
Financial	TBILLEQ		"TBILLEQ(settlement, maturity, discount)"	Calculates the equivalent annualized rate of return of a US Treasury Bill based on discount rate. Learn more
Financial	TBILLPRICE		"TBILLPRICE(settlement, maturity, discount)"	Calculates the price of a US Treasury Bill based on discount rate. Learn more
Financial	TBILLYIELD		"TBILLYIELD(settlement, maturity, price)"	Calculates the yield of a US Treasury Bill based on price. Learn more
Financial	VDB		"VDB(cost, salvage, life, start_period, end_period, [factor], [no_switch])"	Returns the depreciation of an asset for a particular period (or partial period). Learn more.
Financial	XIRR		"XIRR(cashflow_amounts, cashflow_dates, [rate_guess])"	Calculates the internal rate of return of an investment based on a specified series of potentially irregularly spaced cash flows. Learn more
Financial	XNPV		"XNPV(discount, cashflow_amounts, cashflow_dates)"	Calculates the net present value of an investment based on a specified series of potentially irregularly spaced cash flows and a discount rate. Learn more
Financial	YIELD		"YIELD(settlement, maturity, rate, price, redemption, frequency, [day_count_convention])"	"Calculates the annual yield of a security paying periodic interest, such as a US Treasury Bond, based on price. Learn more"
Financial	YIELDDISC		"YIELDDISC(settlement, maturity, price, redemption, [day_count_convention])"	" Calculates the annual yield of a discount (non-interest-bearing) security, based on price. Learn more"
Financial	YIELDMAT		"YIELDMAT(settlement, maturity, issue, rate, price, [day_count_convention])"	"Calculates the annual yield of a security paying interest at maturity, based on price. Learn more"
Google	ARRAYFORMULA	1	ARRAYFORMULA(array_formula)	Enables the display of values returned from an array formula into multiple rows and/or columns and the use of non-array functions with arrays. Learn more
Google	DETECTLANGUAGE		DETECTLANGUAGE(text_or_range)	Identifies the language used in text within the specified range. Learn more
Google	GOOGLEFINANCE		"GOOGLEFINANCE(ticker, [attribute], [start_date], [end_date|num_days], [interval])"	Fetches current or historical securities information from Google Finance. Learn more
Google	GOOGLETRANSLATE		"GOOGLETRANSLATE(text, [source_language], [target_language])"	Translates text from one language into another Learn more
Google	IMAGE		"IMAGE(url, [mode], [height], [width])"	Inserts an image into a cell. Learn more
Google	QUERY	1	"QUERY(data, query, [headers])"	Runs a Google Visualization API Query Language query across data. Learn more
Google	SPARKLINE	1	"SPARKLINE(data, [options])"	Creates a miniature chart contained within a single cell. Learn more
Info	ERROR.TYPE	1	ERROR.TYPE(reference)	Returns a number corresponding to the error value in a different cell. Learn more
Info	ISBLANK	1	ISBLANK(value)	Checks whether the referenced cell is empty. Learn more
Info	ISDATE	1	ISDATE(value)	Returns whether a value is a date. Learn more. 
Info	ISEMAIL	1	ISEMAIL(value)	Checks whether a value is a valid email address. Learn more
Info	ISERR	1	ISERR(value)	Checks whether a value is an error other than `#N/A`. Learn more
Info	ISERROR	1	ISERROR(value)	Checks whether a value is an error. Learn more
Info	ISFORMULA	1	ISFORMULA(cell)	Checks whether a formula is in the referenced cell. Learn more
Info	ISLOGICAL	1	ISLOGICAL(value)	Checks whether a value is `TRUE` or `FALSE`. Learn more
Info	ISNA	1	ISNA(value)	Checks whether a value is the error `#N/A`. Learn more
Info	ISNONTEXT	1	ISNONTEXT(value)	Checks whether a value is non-textual. Learn more
Info	ISNUMBER	1	ISNUMBER(value)	Checks whether a value is a number. Learn more
Info	ISREF	1	ISREF(value)	Checks whether a value is a valid cell reference. Learn more
Info	ISTEXT	1	ISTEXT(value)	Checks whether a value is text. Learn more
Info	N	1	N(value)	Returns the argument provided as a number. Learn more
Info	NA	1	NA()	"Returns the ""value not available"" error, `#N/A`. Learn more"
Info	TYPE	1	TYPE(value)	Returns a number associated with the type of data passed into the function. Learn more
Info	CELL	1	"CELL(info_type, reference)"	Returns the requested information about the specified cell. Learn more
Logical	AND	1	"AND(logical_expression1, [logical_expression2, ...])"	"Returns true if all of the provided arguments are logically true, and false if any of the provided arguments are logically false. Learn more"
Logical	FALSE	1	FALSE()	Returns the logical value `FALSE`. Learn more
Logical	IF	1	"IF(logical_expression, value_if_true, value_if_false)"	Returns one value if a logical expression is `TRUE` and another if it is `FALSE`. Learn more
Logical	IFERROR	1	"IFERROR(value, [value_if_error])"	"Returns the first argument if it is not an error value, otherwise returns the second argument if present, or a blank if the second argument is absent. Learn more"
Logical	IFNA	1	"IFNA(value, value_if_na)"	"Evaluates a value. If the value is an #N/A error, returns the specified value. Learn more."
Logical	IFS	1	"IFS(condition1, value1, [condition2, value2], …)"	Evaluates multiple conditions and returns a value that corresponds to the first true condition. Learn more.
Logical	NOT	1	NOT(logical_expression)	Returns the opposite of a logical value - `NOT(TRUE)` returns `FALSE`; `NOT(FALSE)` returns `TRUE`. Learn more
Logical	OR	1	"OR(logical_expression1, [logical_expression2, ...])"	"Returns true if any of the provided arguments are logically true, and false if all of the provided arguments are logically false. Learn more"
Logical	SWITCH	1	"SWITCH(expression, case1, value1, [default or case2, value2], …)"	"Tests an expression against a list of cases and returns the corresponding value of the first matching case, with an optional default value if nothing else is met. Learn more"
Logical	TRUE	1	TRUE()	Returns the logical value `TRUE`. Learn more
Logical	XOR		"XOR(logical_expression1, [logical_expression2, ...])"	"The XOR function performs an exclusive or of 2 numbers that returns a 1 if the numbers are different, and a 0 otherwise. Learn more."
Lookup	ADDRESS		"ADDRESS(row, column, [absolute_relative_mode], [use_a1_notation], [sheet])"	Returns a cell reference as a string. Learn more
Lookup	CHOOSE	1	"CHOOSE(index, choice1, [choice2, ...])"	Returns an element from a list of choices based on index. Learn more
Lookup	COLUMN	1	COLUMN([cell_reference])	"Returns the column number of a specified cell, with `A=1`. Learn more"
Lookup	COLUMNS	1	COLUMNS(range)	Returns the number of columns in a specified array or range. Learn more
Lookup	FORMULATEXT		FORMULATEXT(cell)	Returns the formula as a string. Learn more.
Lookup	GETPIVOTDATA	1	"GETPIVOTDATA(value_name, any_pivot_table_cell, [original_column, ...], [pivot_item, ...])"	Extracts an aggregated value from a pivot table that corresponds to the specified row and column headings. Learn more
Lookup	HLOOKUP	1	"HLOOKUP(search_key, range, index, [is_sorted])"	Horizontal lookup. Searches across the first row of a range for a key and returns the value of a specified cell in the column found. Learn more
Lookup	INDEX	1	"INDEX(reference, [row], [column])"	"Returns the content of a cell, specified by row and column offset. Learn more"
Lookup	INDIRECT	1	"INDIRECT(cell_reference_as_string, [is_A1_notation])"	Returns a cell reference specified by a string. Learn more
Lookup	LOOKUP	1	"LOOKUP(search_key, search_range|search_result_array, [result_range])"	Looks through a row or column for a key and returns the value of the cell in a result range located in the same position as the search row or column. Learn more
Lookup	MATCH	1	"MATCH(search_key, range, [search_type])"	Returns the relative position of an item in a range that matches a specified value. Learn more
Lookup	OFFSET	1	"OFFSET(cell_reference, offset_rows, offset_columns, [height], [width])"	Returns a range reference shifted a specified number of rows and columns from a starting cell reference. Learn more
Lookup	ROW	1	ROW([cell_reference])	Returns the row number of a specified cell. Learn more
Lookup	ROWS	1	ROWS(range)	Returns the number of rows in a specified array or range. Learn more
Lookup	VLOOKUP	1	"VLOOKUP(search_key, range, index, [is_sorted])"	Vertical lookup. Searches down the first column of a range for a key and returns the value of a specified cell in the row found. Learn more
Math	ABS	1	ABS(value)	Returns the absolute value of a number. Learn more
Math	ACOS		ACOS(value)	"Returns the inverse cosine of a value, in radians. Learn more"
Math	ACOSH		ACOSH(value)	Returns the inverse hyperbolic cosine of a number. Learn more
Math	ACOT		ACOT(value)	"Returns the inverse cotangent of a value, in radians. Learn more."
Math	ACOTH		ACOTH(value)	"Returns the inverse hyperbolic cotangent of a value, in radians. Must not be between -1 and 1, inclusive. Learn more."
Math	ASIN		ASIN(value)	"Returns the inverse sine of a value, in radians. Learn more"
Math	ASINH		ASINH(value)	Returns the inverse hyperbolic sine of a number. Learn more
Math	ATAN		ATAN(value)	"Returns the inverse tangent of a value, in radians. Learn more"
Math	ATAN2		"ATAN2(x, y)"	"Returns the angle between the x-axis and a line segment from the origin (0,0) to specified coordinate pair (`x`,`y`), in radians. Learn more"
Math	ATANH		ATANH(value)	Returns the inverse hyperbolic tangent of a number. Learn more
Math	BASE		"BASE(value, base, [min_length])"	"Converts a number into a text representation in another base, for example, base 2 for binary. Learn more."
Math	CEILING	1	"CEILING(value, [factor])"	Rounds a number up to the nearest integer multiple of specified significance. Learn more
Math	CEILING.MATH		"CEILING.MATH(number, [significance], [mode])"	"Rounds a number up to the nearest integer multiple of specified significance, with negative numbers rounding toward or away from 0 depending on the mode. Learn more."
Math	CEILING.PRECISE		"CEILING.PRECISE(number, [significance])"	"Rounds a number up to the nearest integer multiple of specified significance. If the number is positive or negative, it is rounded up. Learn more. "
Math	COMBIN		"COMBIN(n, k)"	Returns the number of ways to choose some number of objects from a pool of a given size of objects. Learn more
Math	COMBINA		"COMBINA(n, k)"	"Returns the number of ways to choose some number of objects from a pool of a given size of objects, including ways that choose the same object multiple times. Learn more."
Math	COS		COS(angle)	Returns the cosine of an angle provided in radians. Learn more
Math	COSH		COSH(value)	Returns the hyperbolic cosine of any real number. Learn more
Math	COT		COT(angle)	Cotangent of an angle provided in radians. Learn more.
Math	COTH		COTH(value)	Returns the hyperbolic cotangent of any real number. Learn more.
Math	COUNTBLANK	1	COUNTBLANK(range)	Returns the number of empty cells in a given range. Learn more
Math	COUNTIF	1	"COUNTIF(range, criterion)"	Returns a conditional count across a range. Learn more
Math	COUNTIFS	1	"COUNTIFS(criteria_range1, criterion1, [criteria_range2, criterion2, ...])"	Returns the count of a range depending on multiple criteria. Learn more
